ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
"02","1","16","137","2018","06","11","7","3","2","6","0","0","1","0","0","0","0","0",566929.38199999998,5930193.66380000021,10.00940328800,53.51641208300
"02","1","16","137","2018","07","12","1","3","2","6","0","0","1","0","0","0","0","0",566937.06420000002,5930196.08910000045,10.00951964700,53.51643290200
"02","1","16","137","2018","01","11","3","3","0","6","0","0","1","0","0","0","1","0",565865.41200000001,5928387.19269999955,9.99297999700,53.50031115700
"02","1","16","137","2018","01","13","2","3","8","7","0","0","1","0","0","0","0","0",565327.37239999999,5929519.64439999964,9.98510585400,53.51055597600
"02","1","16","137","2018","01","16","4","3","5","3","1","1","1","0","0","0","0","0",566342.39740000002,5930034.42109999992,10.00051838300,53.51505533000
"02","1","16","137","2018","01","17","4","3","4","2","2","0","1","0","0","0","0","1",566055.87719999999,5928304.98720000032,9.99583364000,53.49954846600
"02","1","16","137","2018","02","15","3","3","5","2","0","1","1","0","0","0","0","0",564311.33669999999,5929743.96100000013,9.96983297500,53.51269724600
"02","1","16","137","2018","01","18","3","2","4","2","2","0","1","0","0","0","0","1",566063.42000000004,5928301.79399999976,9.99594666100,53.49951882000
"02","1","16","137","2018","02","12","6","3","7","7","0","0","0","1","0","0","1","1",565525.39650000003,5928152.02680000011,9.98780566700,53.49824010800
"02","1","16","136","2018","02","13","4","3","0","3","0","0","1","0","0","0","1","0",566801.82019999996,5928105.93609999958,10.00703490700,53.49766533400
"02","1","16","137","2018","02","06","4","3","2","6","2","0","1","0","0","1","0","0",566241.11840000004,5928223.80030000024,9.99860865600,53.49879551900
"02","1","16","137","2018","02","08","3","3","6","4","0","0","1","1","0","0","0","1",565843.18729999999,5929746.39489999972,9.99293045800,53.51252951300
