OBJECTID_1,OBJECTID,Admin0,Admin1,Admin2,Admin3,Year,Month,Day,DayofWeek,AccCategory,KindoCollision,TypeoAccident,LightingCond,RoadCondition,Bicycle,PassengerCar,Pedestrian,Motorcycle/Scooter,HGV,OtherAccidents,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
5986,98670,2,5,7,515,2016,10,14,2,2,5,3,0,0,0,1,0,1,0,0,572604.88,5941824.856,10.0976861,53.62018749
5987,98671,2,4,5,408,2016,10,16,7,3,3,6,0,0,0,0,0,1,0,0,567826.2569,5939673.286,10.02498463,53.60149188
5988,98672,2,1,6,115,2016,10,19,5,3,3,6,2,0,0,1,0,0,0,0,567311.1565,5933776.62,10.01593056,53.54856412
5989,98673,2,7,4,705,2016,10,18,7,3,6,4,1,1,0,1,1,0,0,0,566115.9794,5922289.015,9.99547342,53.44547324
5990,98674,2,1,13,131,2016,10,18,3,3,5,3,0,0,0,1,0,0,0,0,573619.0099,5931382.264,10.11055319,53.52619972
5991,98675,2,1,20,141,2016,9,20,5,3,5,5,2,1,0,1,0,1,0,0,556964.9155,5932102.233,9.859490407,53.53473981
5992,98676,2,5,6,514,2016,10,16,6,3,3,6,0,0,0,1,0,0,0,0,573207.5385,5940237.443,10.10642255,53.6058378
5993,98677,2,1,6,117,2016,10,8,6,3,3,6,0,1,0,1,0,0,0,0,567957.4992,5933226.038,10.0255645,53.5435327
5994,98678,2,1,11,129,2016,10,19,7,3,5,3,2,0,0,1,0,0,0,0,570827.9632,5935046.346,10.06928767,53.55951257
5995,98679,2,1,1,101,2016,10,12,6,2,2,6,0,0,0,1,0,1,0,0,566187.2589,5934416.501,9.999105829,53.55445774
