type_of_accident,lighting_conditions,road_conditions,impact_on_obstacle_next_to_the_road,location_innercity_extraurban,street_class,kind_of_accident,gender,feature_x,feature_y,day_of_week,vacation,month,hour_cat,age,casualty_age,casualty_gender,accident_categore,accident_severity
2,0,0,5,1,5.0,6,2.0,485166.2657,5879823.25,4,0,4,4,25,31,1.0,5.0,0.0
3,0,0,3,1,2.0,6,1.0,485963.9551,5881209.182,4,1,4,4,60,47,1.0,5.0,0.0
5,0,0,5,1,5.0,6,1.0,493141.8828,5878845.427999998,5,0,5,4,67,26,1.0,5.0,0.0
5,0,0,5,1,5.0,3,1.0,493282.7148,5885741.662000001,2,0,5,4,46,15,1.0,2.0,1.0
0,0,0,5,1,5.0,7,1.0,490297.3606,5880999.475,3,0,5,4,20,52,2.0,3.0,0.0
5,0,0,5,1,5.0,2,1.0,486471.4667,5882367.038,4,0,6,4,36,50,1.0,5.0,0.0
0,0,0,5,1,5.0,7,1.0,482535.2175,5877730.674,3,0,6,4,47,43,1.0,3.0,0.0
1,0,0,5,1,5.0,7,1.0,493292.222,5885770.721,3,1,8,5,29,44,2.0,5.0,0.0
5,0,0,5,1,2.0,2,1.0,485412.3643,5879740.806,5,1,8,2,42,54,2.0,2.0,1.0
0,0,0,4,1,5.0,7,1.0,496777.4478,5876131.804,7,1,3,4,46,46,1.0,5.0,0.0
6,0,0,5,1,5.0,4,1.0,486842.7316,5882624.1910000015,7,0,9,2,41,89,2.0,3.0,0.0
5,2,1,5,1,5.0,3,1.0,477529.0473,5891838.497,6,0,11,5,75,65,2.0,3.0,0.0
6,2,1,5,1,5.0,4,2.0,490289.3208,5881294.7,4,0,11,5,60,63,1.0,3.0,0.0
1,0,1,5,1,5.0,7,1.0,487332.3606,5882585.209,5,1,12,3,76,55,2.0,5.0,0.0
5,0,0,5,1,5.0,2,2.0,491864.1797,5881053.804,5,0,12,4,78,54,1.0,3.0,0.0
1,0,0,5,1,5.0,7,1.0,487668.668,5878270.496,5,0,12,3,50,44,2.0,5.0,0.0
2,0,0,5,1,5.0,7,1.0,490218.4111,5881431.491,4,1,12,4,61,65,1.0,5.0,0.0
4,2,1,5,1,5.0,6,1.0,479347.4013,5881891.565,3,0,1,5,43,26,1.0,5.0,0.0
2,0,2,5,1,5.0,2,2.0,473280.0279,5892898.042,5,0,1,2,43,48,1.0,5.0,0.0
2,0,2,5,1,5.0,6,2.0,493176.7589,5887041.628,7,1,1,4,40,63,1.0,5.0,0.0
3,0,0,5,1,5.0,2,1.0,484429.7171,5884728.467,6,0,1,4,35,26,1.0,3.0,0.0
5,0,0,5,1,5.0,3,2.0,492479.8205,5879921.335,5,1,3,4,39,76,2.0,3.0,0.0
0,0,0,5,1,5.0,7,2.0,482394.9829,5878624.969,2,0,4,4,60,33,2.0,5.0,0.0
1,0,0,5,1,5.0,7,2.0,487128.6022,5879427.937999999,1,0,5,2,47,24,1.0,5.0,0.0
2,0,0,5,1,5.0,6,1.0,491889.8702,5881058.472999998,4,0,4,2,27,59,2.0,5.0,0.0
2,0,0,5,1,5.0,6,1.0,485656.6713,5883714.516,4,0,4,4,29,46,2.0,5.0,0.0
2,0,0,5,2,1.0,6,1.0,491076.0054,5875906.767000001,5,0,5,5,31,61,1.0,5.0,0.0
1,0,0,5,1,5.0,7,2.0,491308.8025,5883067.927999998,2,0,5,4,71,82,1.0,5.0,0.0
0,0,0,5,1,5.0,7,1.0,486809.1454,5879745.351,5,0,5,4,49,66,2.0,3.0,0.0
5,0,0,5,1,5.0,3,2.0,485829.6287,5883236.112000002,3,0,6,4,83,46,1.0,5.0,0.0
2,0,0,5,1,5.0,7,2.0,486398.7012,5882823.368,3,0,6,5,26,38,1.0,5.0,0.0
6,0,1,5,1,5.0,4,1.0,492756.7766,5877729.23,2,0,6,5,45,49,1.0,3.0,0.0
3,0,0,5,1,5.0,6,2.0,485452.0282,5878414.462,6,1,8,5,26,42,1.0,5.0,0.0
