OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,Hour,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,Longitude,Latitude
3280,2,1,16,136,2018,6,21,6,3,6,4,1,0,0,1,0,0,1,1,568138.665,5928771.164,10.0273288,53.50347243
3281,2,4,10,429,2018,5,13,7,3,1,6,0,0,1,0,0,0,0,0,568762.701,5939481.526,10.03909125,53.59964649
3282,2,1,11,129,2018,5,18,2,3,6,4,0,0,1,1,0,0,0,0,571761.1018,5934581.281,10.08326571,53.5552063
3283,2,7,1,702,2018,5,15,4,3,0,7,0,0,1,0,0,0,0,0,565178.0663,5923950.476,9.981698364,53.46052232
3284,2,1,14,133,2018,5,11,2,2,5,3,0,0,0,0,1,1,0,0,568192.4186,5932776.371,10.02901109,53.53946102
3285,2,4,12,431,2018,5,7,3,3,2,6,0,0,1,0,0,0,0,0,567132.9767,5943131.3,10.01525507,53.63265861
3286,2,1,14,132,2018,5,14,4,3,5,3,0,1,1,0,0,0,0,0,570090.8272,5931901.594,10.05745652,53.53134942
3287,2,5,7,515,2018,5,11,5,3,4,2,0,1,1,0,0,0,0,0,571476.4016,5941674.927,10.080594,53.61899533
3288,2,1,16,137,2018,5,10,5,3,1,6,0,0,1,0,0,0,0,0,565948.0116,5930521.617,9.994674138,53.51948353
3289,2,4,5,408,2018,5,10,5,3,4,2,0,0,1,0,0,0,0,0,567826.3229,5939709.047,10.0249934,53.60181326
3290,2,5,4,512,2018,5,19,2,3,1,6,0,0,1,0,0,0,0,0,573127.1734,5936648.678,10.10436691,53.57359728
3291,2,2,7,219,2018,5,8,3,3,4,2,0,1,0,0,0,0,1,0,557304.1403,5934569.621,9.865060088,53.55687876
3292,2,5,4,512,2018,5,19,5,2,6,4,0,0,1,1,0,0,0,0,575617.4621,5937740.768,10.14223173,53.5830586
3293,2,1,5,113,2018,5,19,5,3,6,7,0,0,1,1,0,0,0,0,567089.2155,5934888.58,10.01282,53.55858591
3294,2,7,13,714,2018,5,17,5,3,5,3,0,1,0,0,0,0,0,0,558278.862,5925528.067,9.878090773,53.47550968
3295,2,5,18,526,2018,5,9,5,2,5,3,0,1,1,0,0,0,0,0,576033.8404,5941372.427,10.1494056,53.61563507
3296,2,5,18,526,2018,5,19,2,3,2,2,0,0,1,0,0,0,0,0,576328.8065,5941261.604,10.15383646,53.61459624
3297,2,4,5,410,2018,5,22,3,3,3,6,2,1,1,0,0,0,0,0,566496.5569,5938227.832,10.00458552,53.58867178
3298,2,5,18,526,2018,5,14,2,3,5,7,0,1,1,0,0,0,0,0,576655.1498,5938356.919,10.15805429,53.58844511
3299,2,4,10,428,2018,5,17,2,3,9,7,0,0,1,0,0,0,0,0,569066.5494,5939052.147,10.04358683,53.5957477
3300,2,5,9,517,2018,5,22,2,2,3,6,2,1,1,0,0,0,1,0,570503.7315,5943964.154,10.06641044,53.63970027
3301,2,5,4,512,2018,6,11,6,3,0,6,0,0,1,0,0,0,1,0,575183.2743,5936687.269,10.13542084,53.57365345
3302,2,1,13,131,2018,5,7,6,3,4,2,0,1,1,0,0,0,0,0,573534.3788,5931674.802,10.10934548,53.5288406
3303,2,5,17,525,2018,5,18,2,2,6,4,0,0,1,1,0,0,0,0,576471.381,5944007.157,10.15666579,53.63924876
3304,2,7,6,707,2018,5,8,4,2,0,3,0,0,1,0,0,0,1,0,565279.7311,5920491.777,9.982511829,53.42942491
3305,2,5,9,517,2018,5,16,2,3,4,2,0,0,1,0,0,0,0,0,572386.4808,5943939.679,10.09487679,53.63922328
3306,2,5,1,502,2018,5,16,4,3,1,7,0,0,1,0,0,0,0,0,569586.7497,5936439.532,10.05086294,53.57219925
3307,2,3,8,320,2018,5,14,5,3,2,6,0,0,1,0,0,1,1,0,559596.9498,5940550.73,9.900809896,53.61037829
3308,2,2,6,218,2018,5,14,5,3,0,2,0,0,1,0,0,0,1,0,558761.7662,5935506.933,9.887237727,53.56514171
3309,2,5,11,519,2018,5,16,2,2,6,4,0,0,1,1,0,0,0,0,571736.8934,5945910.098,10.08550818,53.65702056
3310,2,1,4,111,2018,5,8,3,3,2,6,0,0,1,0,1,0,0,0,564331.4294,5934695.642,9.971153761,53.55719717
3311,2,4,13,432,2018,5,18,2,2,0,7,0,0,0,0,1,0,0,0,566467.556,5944900.041,10.00557163,53.64863932
3312,2,3,1,307,2018,6,3,1,3,2,6,2,0,1,0,0,0,0,1,563305.0032,5936131.886,9.955952131,53.57022995
3313,2,2,5,215,2018,5,7,2,3,4,2,0,1,0,0,0,0,1,0,560814.6647,5936165.955,9.918358238,53.57083071
3314,2,4,13,432,2018,5,15,2,3,3,6,0,1,1,0,0,0,0,0,567467.7159,5947150.239,10.02118889,53.66873384
3315,2,3,3,314,2018,6,23,6,3,5,3,2,1,1,0,0,0,0,1,565398.734,5937471.086,9.987844462,53.58200884
3316,2,4,4,407,2018,5,20,2,3,5,3,0,0,1,0,0,0,0,0,566533.8012,5940184.979,10.00556571,53.60625621
3317,2,2,8,220,2018,5,17,2,3,2,6,0,0,1,0,0,0,0,0,558896.5532,5939561.464,9.890037827,53.60156654
3318,2,5,1,504,2018,5,17,2,3,5,3,0,0,1,0,0,0,1,0,569895.028,5936286.355,10.05548325,53.57078166
3319,2,4,8,423,2018,6,18,6,3,5,3,0,0,1,0,1,0,0,0,569459.7834,5937159.181,10.04910602,53.57868359
3320,2,5,9,517,2018,5,17,6,3,5,3,0,1,1,0,0,0,0,0,572150.9867,5943924.864,10.09131212,53.63912267
3321,2,5,1,501,2018,5,15,2,3,5,3,0,0,1,0,0,0,1,0,569032.6273,5935672,10.04232676,53.56537458
3322,2,3,3,313,2018,5,7,4,3,6,4,0,1,0,1,0,0,0,0,564937.7557,5936974.953,9.980779314,53.57760726
3323,2,2,4,214,2018,5,8,5,3,5,3,0,1,1,0,0,0,0,0,561470.4384,5933737.083,9.927781841,53.54892504
3324,2,4,10,427,2018,5,13,2,3,0,1,0,0,1,0,0,0,0,0,569258.897,5938128.148,10.04628748,53.58741831
3325,2,1,16,137,2018,5,14,2,3,3,6,0,0,1,0,0,1,0,0,566195.345,5926156.057,9.997482567,53.4802178
3326,2,2,12,225,2018,5,13,2,3,1,5,0,1,1,0,0,0,0,0,554706.7997,5935796.436,9.826070167,53.56818206
3327,2,5,17,525,2018,6,13,7,3,1,6,0,0,1,0,0,0,0,0,576590.9064,5944810.059,10.15867103,53.64644666
3328,2,1,12,130,2018,5,14,1,3,0,7,0,0,0,0,0,0,1,0,575903.5236,5931818.986,10.14511383,53.52979948
3329,2,2,3,210,2018,5,14,2,3,0,7,0,0,1,0,0,0,1,0,562076.609,5934135.276,9.937008576,53.55243244
3330,2,6,6,607,2018,5,11,4,3,8,7,0,0,1,0,0,0,0,0,576921.3432,5922887.23,10.15827642,53.44938315
3331,2,1,3,108,2018,5,9,5,3,0,7,0,0,0,0,0,0,1,0,565517.2299,5934833.979,9.989080821,53.55829377
3332,2,7,13,714,2018,5,11,5,3,5,2,0,0,1,0,0,0,0,0,558074.5937,5925727.221,9.875050272,53.47732218
3333,2,3,5,317,2018,5,10,6,2,5,7,0,1,1,0,0,0,0,0,564250.7419,5938477.948,9.970714206,53.59119965
3334,2,2,1,206,2018,5,12,2,3,3,6,0,0,1,0,0,0,1,0,562776.241,5935077.77,9.947756812,53.56081979
3335,2,5,5,513,2018,5,17,3,3,0,3,0,1,0,0,0,0,0,0,572940.5382,5937554.152,10.10176049,53.58176066
3336,2,3,8,320,2018,5,13,6,3,5,3,0,0,1,0,1,0,0,0,558714.7529,5941581.593,9.887671563,53.61974269
3337,2,1,3,108,2018,5,17,2,3,5,2,0,0,1,0,0,0,0,0,565162.2312,5934770.381,9.983709193,53.55776639
3338,2,6,1,601,2018,5,10,3,3,0,7,0,0,0,0,0,0,1,0,578727.7267,5929437.554,10.18711266,53.50798267
3339,2,2,2,207,2018,5,14,5,3,1,5,0,1,1,0,0,0,0,0,563817.1944,5935021.254,9.963458518,53.56018631
3340,2,7,11,712,2018,5,16,1,3,4,6,0,1,0,0,0,0,0,0,560177.9041,5927842.044,9.907143495,53.49609305
3341,2,5,6,514,2018,5,15,2,3,5,6,0,0,1,0,0,0,0,0,574609.9617,5942700.15,10.12820359,53.62777173
3342,2,1,20,141,2018,5,16,1,3,8,1,0,0,0,0,1,0,0,0,555045.1642,5931609.857,9.830441885,53.53051916
3343,2,2,5,215,2018,6,0,7,3,5,3,2,1,1,0,0,0,0,1,561314.4125,5936263.22,9.925922915,53.5716467
3344,2,1,11,129,2018,5,12,7,3,2,6,0,0,1,0,0,0,0,0,572597.36,5934122.962,10.09578045,53.55097243
3345,2,7,9,710,2018,5,7,1,2,2,6,0,0,1,0,0,0,1,0,563421.5737,5923412.453,9.955138004,53.45590125
3346,2,7,1,702,2018,5,19,1,3,0,7,0,0,0,0,1,0,0,0,565342.074,5923582.946,9.98409183,53.45719886
3347,2,1,12,130,2018,5,11,4,3,8,1,0,0,1,0,0,0,0,0,574539.6188,5931910.452,10.12456353,53.53081672
3348,2,7,9,710,2018,5,10,4,3,2,6,0,0,1,0,0,0,0,0,563723.761,5923510.277,9.959708113,53.45674399
3349,2,1,8,124,2018,5,17,5,3,5,3,0,1,0,0,0,0,0,0,569535.4132,5934350.069,10.04962281,53.55342791
3350,2,1,1,102,2018,5,10,6,3,6,4,0,1,0,1,0,0,0,0,565951.2944,5933983.859,9.995453238,53.55059919
3351,2,1,12,130,2018,5,10,5,3,5,2,0,1,1,0,0,0,0,0,573461.0211,5932630.823,10.1084634,53.53744256
3352,2,6,11,612,2018,5,18,1,3,5,2,0,0,1,0,1,0,0,0,572097.8077,5929721.413,10.08722799,53.51148453
3353,2,4,13,432,2018,5,14,3,3,4,2,0,0,1,0,0,0,0,0,566330.4819,5945992.191,10.00373135,53.65847195
3354,2,5,12,520,2018,5,19,3,3,5,3,0,1,1,0,0,0,0,0,570006.5488,5946790.444,10.05952835,53.6651666
3355,2,6,14,615,2018,5,13,1,3,6,7,0,0,1,1,0,0,0,0,577533.1014,5926083.721,10.16827464,53.4780199
